0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:27 +0700] "GET /LC/detail?ma=27&theLoai=1 HTTP/1.1" 200 14275
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:32 +0700] "GET /LC/home HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:34 +0700] "GET /LC/loadLaptop?laptop=6 HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:36 +0700] "GET /LC/detail?ma=22&theLoai=1 HTTP/1.1" 200 14555
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:54:27 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:10 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:43 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:44 +0700] "GET /LC/management-camera HTTP/1.1" 200 61547
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:45 +0700] "GET /LC/management-laptop HTTP/1.1" 200 63448
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:47 +0700] "GET /LC/management-camera HTTP/1.1" 200 61547
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:48 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:55:50 +0700] "GET /LC/set-account-admin HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:56:01 +0700] "GET /LC/set-account-admin HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:56:09 +0700] "GET /LC/management-camera HTTP/1.1" 200 61547
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:00:08 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 5052
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:01:40 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:01:56 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:02:44 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:52:59 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4427
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:53:14 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:53:22 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:53:28 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:53:28 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:53:37 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:54:47 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:54:50 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:54:54 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:57:07 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:57:24 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:12:58:49 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:13:19:31 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:13:19:34 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:25 +0700] "GET /LC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:27 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:33 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:40 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:41 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:42 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:45 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:45 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:46 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:38:48 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:16 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:23 +0700] "GET /LC/management-order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:23 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:29 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:29 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:30 +0700] "GET /LC/set-account-admin HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:39 +0700] "GET /LC/set-account-admin HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:52 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:56 +0700] "GET /LC/management-order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:39:56 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:02 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:02 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:03 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:18 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:18 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:39 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:39 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:40:41 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:06 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:08 +0700] "GET /LC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:09 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:13 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:19 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:19 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:20 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:56 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:42:56 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:06 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:06 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:32 +0700] "GET /LC/management-order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:32 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:38 +0700] "POST /LC/login-admin HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:43 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:43 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:44 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:59 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:43:59 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:44:02 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:44:09 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:44:09 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:15 +0700] "GET /LC/management-order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:15 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:20 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:20 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:22 +0700] "GET /LC/home HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:24 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:33 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:51:33 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:52:07 +0700] "POST /LC/login-admin HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:52:15 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:52:15 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:52:18 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:53:12 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:53:21 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:53:21 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:09 +0700] "GET /LC/management-order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:09 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:14 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:14 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:16 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:29 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:30 +0700] "GET /LC/home HTTP/1.1" 200 21440
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:51 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:52 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:55 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:54:57 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:55:19 +0700] "POST /LC/set-account-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:55:19 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:55:27 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:55:27 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:14:55:28 +0700] "GET /LC/set-account-admin HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:01:03 +0700] "GET /LC/management-order HTTP/1.1" 302 -
